1. Point  200 200 -50
2. Point  200 200 -45
3. Point  200 200 -40
4. Point  200 200 -35
5. Point  200 200 -30
6. Point  200 200 -25
7. Point  200 200 -20
8. Point  200 200 -15
9. Point  200 200 -10
10. Point  200 200 -5
11. Point  200 200 0
12. Point  200 200 5
13. Point  200 200 10
14. Point  200 200 15
15. Point  200 200 20
16. Point  200 200 25
17. Point  200 200 30
18. Point  200 200 35
19. Point  200 200 40
20. Point  200 200 45
21. Point  200 200 50
22. Point  205 200 -50
23. Point  205 200 -45
24. Point  205 200 -40
25. Point  205 200 -35
26. Point  205 200 -30
27. Point  205 200 -25
28. Point  205 200 -20
29. Point  205 200 -15
30. Point  205 200 -10
31. Point  205 200 -5
32. Point  205 200 0
33. Point  205 200 5
34. Point  205 200 10
35. Point  205 200 15
36. Point  205 200 20
37. Point  205 200 25
38. Point  205 200 30
39. Point  205 200 35
40. Point  205 200 40
41. Point  205 200 45
42. Point  205 200 50
43. Point  210 200 -50
44. Point  210 200 -45
45. Point  210 200 -40
46. Point  210 200 -35
47. Point  210 200 -30
48. Point  210 200 -25
49. Point  210 200 -20
50. Point  210 200 -15
51. Point  210 200 -10
52. Point  210 200 -5
53. Point  210 200 0
54. Point  210 200 5
55. Point  210 200 10
56. Point  210 200 15
57. Point  210 200 20
58. Point  210 200 25
59. Point  210 200 30
60. Point  210 200 35
61. Point  210 200 40
62. Point  210 200 45
63. Point  210 200 50
64. Point  215 200 -50
65. Point  215 200 -45
66. Point  215 200 -40
67. Point  215 200 -35
68. Point  215 200 -30
69. Point  215 200 -25
70. Point  215 200 -20
71. Point  215 200 -15
72. Point  215 200 -10
73. Point  215 200 -5
74. Point  215 200 0
75. Point  215 200 5
76. Point  215 200 10
77. Point  215 200 15
78. Point  215 200 20
79. Point  215 200 25
80. Point  215 200 30
81. Point  215 200 35
82. Point  215 200 40
83. Point  215 200 45
84. Point  215 200 50
85. Point  220 200 -50
86. Point  220 200 -45
87. Point  220 200 -40
88. Point  220 200 -35
89. Point  220 200 -30
90. Point  220 200 -25
91. Point  220 200 -20
92. Point  220 200 -15
93. Point  220 200 -10
94. Point  220 200 -5
95. Point  220 200 0
96. Point  220 200 5
97. Point  220 200 10
98. Point  220 200 15
99. Point  220 200 20
100. Point  220 200 25
101. Point  220 200 30
102. Point  220 200 35
103. Point  220 200 40
104. Point  220 200 45
105. Point  220 200 50
106. Point  225 200 -50
107. Point  225 200 -45
108. Point  225 200 -40
109. Point  225 200 -35
110. Point  225 200 -30
111. Point  225 200 -25
112. Point  225 200 -20
113. Point  225 200 -15
114. Point  225 200 -10
115. Point  225 200 -5
116. Point  225 200 0
117. Point  225 200 5
118. Point  225 200 10
119. Point  225 200 15
120. Point  225 200 20
121. Point  225 200 25
122. Point  225 200 30
123. Point  225 200 35
124. Point  225 200 40
125. Point  225 200 45
126. Point  225 200 50
127. Point  230 200 -50
